127.0.0.1 - - [25/Feb/2017:15:26:23 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:36:17 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:36:17 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:36:19 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:36:19 -0800] "GET /Assignment_2/jsp/login.jsp HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:36:28 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:36:28 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:36:30 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 500 1623
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:37:05 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:37:05 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:37:15 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fhw_kaimakis%2FAssignment2%2Ftest.xml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:17:37:15 -0800] "GET /Assignment_2/jsp/login.jsp HTTP/1.1" 200 1001
